*******************************************************************************
Ephemeris / WWW_USER Sat Jun 23 08:34:32 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-25 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Mar-25 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460334.500000000, A.D. 2024-Jan-25 00:00:00.0000, -1.727931136544029E+05,  3.581242617704494E+05,  3.454175542284554E+04, -9.048107617691676E-01, -4.017083797633153E-01, -8.340784269438850E-03,
2460334.541666667, A.D. 2024-Jan-25 01:00:00.0000, -1.760434152042502E+05,  3.566635745895191E+05,  3.451029970931343E+04, -9.009004590050258E-01, -4.097777586179528E-01, -9.134383286820591E-03,
2460334.583333333, A.D. 2024-Jan-25 02:00:00.0000, -1.792795118004063E+05,  3.551739107690341E+05,  3.447598954689380E+04, -8.969191906707332E-01, -4.178064204307277E-01, -9.926579219066367E-03,
2460334.625000000, A.D. 2024-Jan-25 03:00:00.0000, -1.825011487233213E+05,  3.536554178857071E+05,  3.443883009439318E+04, -8.928673776600362E-01, -4.257938129893798E-01, -1.071731227986730E-02,
2460334.666666667, A.D. 2024-Jan-25 04:00:00.0000, -1.857080727752692E+05,  3.521082454959259E+05,  3.439882672533923E+04, -8.887454445285001E-01, -4.337393886892792E-01, -1.150652296649834E-02,
2460334.708333333, A.D. 2024-Jan-25 05:00:00.0000, -1.889000322934375E+05,  3.505325451191389E+05,  3.435598502695450E+04, -8.845538194414130E-01, -4.416426045482046E-01, -1.229415206270093E-02,
2460334.750000000, A.D. 2024-Jan-25 06:00:00.0000, -1.920767771628280E+05,  3.489284702211889E+05,  3.431031079912031E+04, -8.802929341216401E-01, -4.495029222204683E-01, -1.308014064151095E-02,
2460334.791666667, A.D. 2024-Jan-25 07:00:00.0000, -1.952380588289699E+05,  3.472961761975969E+05,  3.426181005333016E+04, -8.759632237974342E-01, -4.573198080103796E-01, -1.386443006803209E-02,
2460334.833333333, A.D. 2024-Jan-25 08:00:00.0000, -1.983836303104458E+05,  3.456358203567994E+05,  3.421048901163331E+04, -8.715651271502107E-01, -4.650927328850453E-01, -1.464696200215243E-02,
2460334.875000000, A.D. 2024-Jan-25 09:00:00.0000, -2.015132462112286E+05,  3.439475619033399E+05,  3.415635410556875E+04, -8.670990862623075E-01, -4.728211724865025E-01, -1.542767840120529E-02,
